data,contaminant,lat,lng,valor
2025-02-14,PM10,41.193604,1.2367008,45
2025-02-14,PM2.5,41.193604,1.2367008,22
2025-02-14,NO2,41.193604,1.2367008,38
2025-02-14,SO2,41.193604,1.2367008,10
2025-02-14,O3,41.193604,1.2367008,60
2025-02-14,NO,41.193604,1.2367008,25
2025-01-06,PM10,41.193604,1.2367008,35
2025-01-06,PM2.5,41.193604,1.2367008,18
2025-01-06,NO2,41.193604,1.2367008,30
2025-01-06,SO2,41.193604,1.2367008,8
2025-01-06,O3,41.193604,1.2367008,55
2025-01-06,NO,41.193604,1.2367008,20
2025-02-14,PM10,41.150803,1.1202013,50
2025-02-14,PM2.5,41.150803,1.1202013,25
2025-02-14,NO2,41.150803,1.1202013,40
2025-02-14,SO2,41.150803,1.1202013,12
2025-02-14,O3,41.150803,1.1202013,65
2025-02-14,NO,41.150803,1.1202013,28
2025-01-06,PM10,41.150803,1.1202013,38
2025-01-06,PM2.5,41.150803,1.1202013,20
2025-01-06,NO2,41.150803,1.1202013,33
2025-01-06,SO2,41.150803,1.1202013,9
2025-01-06,O3,41.150803,1.1202013,58
2025-01-06,NO,41.150803,1.1202013,22 -
2025-02-14,PM10,40.93944,0.83139044,55
2025-02-14,PM2.5,40.93944,0.83139044,28
2025-02-14,NO2,40.93944,0.83139044,42
2025-02-14,SO2,40.93944,0.83139044,14
2025-02-14,O3,40.93944,0.83139044,70
2025-02-14,NO,40.93944,0.83139044,30
2025-01-06,PM10,40.93944,0.83139044,40
2025-01-06,PM2.5,40.93944,0.83139044,22
2025-01-06,NO2,40.93944,0.83139044,35
2025-01-06,SO2,40.93944,0.83139044,10
2025-01-06,O3,40.93944,0.83139044,60
2025-01-06,NO,40.93944,0.83139044,24
